,SL_n,BRC1_2_n,CK_n,Aux_n,ABA_n,PIN_1_3_4_7_n,Aux_Bud_n,SUC_n,GA_n,Decap_signal_n,CXE_n,SMXL6_7_8_n,FHY3_FAR1_n,SPL9_15_n,MAX2_n,D14_n,D27_n,MAX3_n,MAX4_n,MAX1_n,LBO_n,CLAMT_n,PhyB_n,PIFs_n,HB21_40_53_n,NCED3_n
61,1.047768841,1.411043565,0.966181597,1.148494616,0.490718163,0.411385553,1.552941407,2.085803523,0,2.237916268,0.84825031,2.292229328,0.474133326,0.83503919,0.696279038,1.38306899,0.295611134,1.132482518,0.506382293,1.832080752,0.229847968,0.824758816,1.153762652,1.663137754,0.938412401,0.634541069
62,1.430680048,1.523166232,0.750847151,1.622134108,0.767526991,0.338336373,1.64896582,1.890972564,0,2.358864635,1.070584099,2.471454622,0.641198164,1.521276548,0,1.12588675,0.376941152,1.252658696,0.747875971,1.655570684,1.063759649,0.422210399,1.66248032,1.974341111,1.528384384,0.822666124
63,0.897365476,1.188428839,1.296937031,0.732488297,0.89565953,0,1.25624528,2.021248214,0,2.549369574,0.061782929,1.756179148,0.522786492,1.156009828,0.463059187,0.940222763,0.552900942,1.394648108,1.12410927,1.735493983,1.021603505,0.153903215,1.926784121,2.110900528,1.417938771,0.264724607
64,0.793441617,1.864505375,1.013381547,1.89972774,1.203758664,0.090275671,1.091630681,1.956417179,0.050556162,2.079515441,0.114574796,2.501677073,0.192181292,1.364179799,0.190487284,1.41765788,0.864661893,1.51905511,0.991889187,1.850020857,0.736517735,0.64111428,1.493210181,1.848985849,0.806198148,0.636480564
65,1.084479054,1.591001845,0.656778759,1.202476573,0.695500121,0,1.274321116,2.232790699,0,2.576934342,0.917874933,2.672081256,0,0.947078186,0.550676576,1.094256868,0.685326486,1.14155151,0.451999193,1.176214278,1.221330233,0.683523398,1.598542723,1.416372175,0.503555017,0.844231022
66,1.672247858,1.350576174,1.60565207,1.831012779,1.079006623,0,1.025257314,2.118292352,0,2.100736406,0.342441493,2.122376718,0.263083826,1.411255691,0.342826467,1.229792113,0.800609495,1.317789978,0.958862349,1.456948164,0.494048538,0.48176202,1.959447616,1.795347173,0.48925601,0.41429733
67,0.846949224,1.690000276,1.018659904,1.359562611,1.008039419,0,1.509629841,1.556076324,0.005078714,2.07400536,0.995170103,1.535337003,0.057357594,1.531198741,0.793729318,1.250917414,0.315690494,1.554049996,0.332553039,1.356265475,1.107292793,0.879920722,0.77272519,2.134541828,1.495034567,0.583265113
68,0.951084353,1.980068608,1.066253576,1.818639801,0.468209382,0,1.352218135,1.623584908,0,2.710066739,0.98535354,2.007975432,0.116316969,1.0448106,0.448774166,1.318068934,0,1.438714504,0.671497669,1.068838375,0.509474787,0.268936038,1.20667082,1.601615649,1.429048236,0.457882514
69,0.574844809,2.144824669,0.90020364,1.876518087,0.646569371,0,1.19296146,2.090000639,0,2.948393075,0.452816567,1.538473282,0.090005429,1.242592158,0.194846688,1.083945768,1.013925939,0.914091614,0.062675247,1.064972906,0.868825029,0.771121194,1.2787016,2.248357645,1.088720592,0.986547608
70,0.861256276,1.724633128,0.628653667,1.362884237,1.062868853,0,0.946454282,1.911392244,0,2.014571701,0.959609809,2.200504935,0.666107939,1.015856234,0.627652079,0.876826553,0.239043024,0.843928094,0.759494568,1.609733691,0.810768857,0.131538287,1.391721521,1.930257367,0.810031734,1.421464102
